Distance (mm),Intensity (V)
0,0.237
0.1,0.175
0.2,0.121
0.3,0.091
0.4,0.091
0.5,0.113
0.6,0.136
0.7,0.141
0.8,0.118
0.9,0.011
1,0.042
1.1,0.034
1.2,0.061
1.3,0.131
1.4,0.218
1.5,0.282
1.6,0.301
1.7,0.262
1.8,0.183
1.9,0.102
2,0.083
2.1,0.114
2.2,0.341
2.3,0.519
2.4,0.611
2.5,0.602
2.6,0.486
2.7,0.313
2.8,0.158
2.9,0.09
3,0.139
3.1,0.298
3.2,0.491
3.3,0.645
3.4,0.68
3.5,0.592
3.6,0.415
3.7,0.226
3.8,0.108
3.9,0.11
4,0.23
4.1,0.413
4.2,0.511
4.3,0.635
4.4,0.582
4.5,0.433
4.6,0.261
4.7,0.123
4.8,0.081
4.9,0.152
5,0.286
5.1,0.42
5.2,0.491
5.3,0.48
5.4,0.381
5.5,0.244
5.6,0.129
5.7,0.012
5.8,0.099
5.9,0.165
6,0.256
6.1,0.313
6.2,0.316
6.3,0.264
6.4,0.182
6.5,0.106
6.6,0.059
6.7,0.055
6.8,0.085
6.9,0.124
7,0.155
7.1,0.159
7.2,0.138
7.3,0.099
7.4,0.062
7.5,0.038
7.6,0.031
7.7,0.036
7.8,0.044
7.9,0.049
8,0.046
8.1,0.031
