Position (mm),Intensity (counts),Error (counts)
0,6,13.6248547392868
0.2,-4.33333333333331,13.4978599126759
0.4,26.6666666666667,13.8753578532431
0.6,65.3333333333334,14.3322867834985
0.8,73.6666666666666,14.4288676694404
1,13,13.7102151697193
1.2,90.3333333333334,14.6201155186195
1.4,218.333333333333,16.0129461513003
1.6,231.333333333333,16.147686452795
1.8,75.3333333333334,14.4481063734241
2,135.333333333333,15.1244099976752
2.2,527.333333333333,18.9582289374415
2.4,422,18.0084239547311
2.6,25.3333333333333,13.8593329966168
2.8,220.333333333333,16.0337491283577
3,764,20.9356951958451
3.2,652.666666666667,20.0297833793135
3.4,30.3333333333333,13.9193310822675
3.6,387,17.6815346241967
3.8,1073.33333333333,23.2683141728069
4,784.666666666667,21.0995787214395
4.2,87.3333333333334,14.5858759688192
4.4,462,18.3748922899337
4.6,1156.33333333333,23.8554210005003
4.8,787,21.1180017994127
5,73,14.4211650014831
5.2,452.333333333333,18.2870020627889
5.4,1093.33333333333,23.4111322048104
5.6,676.333333333333,20.2257536599038
5.8,5,13.6126166967756
6,412,17.9156356292485
6.2,882.666666666667,21.8599837348725
6.4,438.333333333333,18.1589586093966
6.6,3.33333333333331,13.5921954730565
6.8,248.666666666667,16.3256104190795
7,473.333333333333,18.477403617512
7.2,235.666666666667,16.1923507318185
7.4,-8.33333333333331,13.4483786713822
