 ,Area,XM,YM
1,2033,59.300,161.087
2,2059,61.257,166.439
3,2046,63.131,171.961
4,2052,65.114,178.154
5,2076,67.190,184.559
6,2049,69.189,191.520
7,2071,71.280,198.833
8,2053,73.365,206.430
9,2082,75.507,214.701
10,2070,77.671,223.208
11,2079,79.848,232.173
12,2102,81.915,241.586
13,2085,84.102,251.171
14,2110,86.218,261.625
15,2103,88.314,272.107
16,2117,90.572,283.150
17,2132,92.784,294.576
18,2133,95.034,306.364
19,2162,97.241,318.692
20,2154,99.552,331.276
21,2185,101.864,344.402
22,2202,104.183,357.727
23,2218,106.488,371.827
24,2249,108.783,386.284
25,2263,111.153,400.972
26,2298,113.499,416.229
27,2323,115.928,431.836
28,2354,118.321,448.030
29,2368,120.712,464.290
30,2381,123.273,481.157
31,2429,125.801,498.375
32,2444,128.415,515.731
33,2498,130.996,533.898
